Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description
Airstar Aerospace,9,"2,700",0,0,-,"Small, Medium",Suborbital,Balloon,France,Le Champ-près-Froges,Balloons that lift anything from a few kilograms to several tons and are able to operate at an altitude as low as a few hundred metres or as high as 40 km
Avio/Arianespace,9,"20,000",170,"8,500",Public,"Medium, Heavy",LEO,Rocket,Italy,"Colleferro, RM",Vega & Ariane launch vehicles
Blue Origin,9,"45,000",0,0,-,"Small, Heavy",LEO,Rocket,USA,"Kent, WA",Lowering the cost of access to space with reusable launch vehicles
Mitsubishi Heavy Industries,9,"19,000",112.5,"5,921",Public,Medium,LEO,Rocket,Japan,"Tokyo, Tokyo",Launch vehicle manufacturer and launch services provider
Northrop Grumman,9,"8,000",80,"10,000",Public,"Small, Medium",LEO,Rocket,USA,"Falls Church, VA","Designs, manufactures, and operates launch vehicles, propulsion systems, and satellites and related components"
Rocket Lab,9,225,4.9,"21,778",257.31,Small,LEO,Rocket,USA,"Huntington Beach, CA",The first rocket company and launch site for cubesat payloads in New Zealand
SpaceX,9,"63,800",90,"1,411",3570,"Heavy, Super Heavy",LEO,Rocket,USA,"Hawthorne, CA","SpaceX designs, manufactures, and launches advanced rockets and spacecraft"
Swedish Space Corp,9,"2,000",0,0,-,Small,Suborbital,"Balloon, Rocket",Sweden,Solna,"SSC designs sounding rocket vehicles, stratospheric balloon systems, and payloads"
United Launch Alliance,9,"17,800",99,"5,562",Joint Venture,"Medium, Heavy",LEO,Rocket,USA,"Centennial, CO","A joint venture between Lockheed Martin and Boeing, ULA produces the Vulcan, Atlas and Delta Launch Vehicle Families"
UP Aerospace,9,36,0,0,0.72,Small,Suborbital,Rocket,USA,"Highlands Ranch, CO",UP Aerospace is a suborbital space launch and flight test service provider
World View,9,"4,500",0,0,48.68,"Small, Medium",Suborbital,Balloon,USA,"Tucson, AZ","The Stratollite is a remotely operated, navigable vehicle that can remain aloft for days, weeks, and months on end"
Sierra Nevada,8,"5,000",0,0,-,Medium,LEO,Spaceplane,USA,"Sparks, NV",Dream Chaser space plane for space station resupply missions
The Spaceship Company/Virgin Galactic,8,372,1.5,"4,032",Joint Venture,Small,Suborbital,Spaceplane,USA,"Mojave, CA",Building a fleet of WhiteKnightTwo carrier aircraft and SpaceShipTwo reusable spaceships
Virgin Orbit/VOX Space,8,500,12,"24,000",-,Small,LEO,"Plane, Rocket",USA,"Long Beach, CA",The small payload orbital launch sister company to Virgin Galactic
Firefly Aerospace,7,"1,000",15,"15,000",23.16,Small,LEO,Rocket,USA,"Cedar Park, TX",Developing the Firefly Alpha launch vehicle; highest payload performance with the lowest cost per kg to orbit in its vehicle class
iSpace,7,"1,900",0,0,92.92,Small,LEO,Rocket,China,Beijing,iSpace is a Chinese private space launch company developing the Hyperbola rocket
Phantom Express (by Boeing/DARPA),7,"1,361",5,"3,674",Joint Venture,Small,LEO,Spaceplane,USA,"Seal Beach, CA","Autonomous, spaceplane for rapid, reusable space launch for small satellites"
Relativity Space,7,"1,250",10,"8,000",184.54,Small,LEO,Rocket,USA,"Los Angeles, CA",Designing an orbital-class launch vehicle that's autonomously constructed
Zero 2 Infinity,7,100,4,"40,000",13.83,Small,LEO,"Balloon, Rocket",Spain,"Barcelona, Catalonia",Balloon-launched rockets for low-cost LEO payloads
Exos Aerospace,6,100,0,0,9.09,Small,Suborbital,Rocket,USA,"Caddo Mills, TX","Selling reusable launch vehicles for small, sub-orbital scientific/experimental payloads"
One Space,6,200,3.2,"16,000",116,Small,LEO,Rocket,China,Beijing,Building a private 3-stage nanosatellite launch vehicle in China
PLD Space,6,300,0,0,18.94,Small,LEO,Rocket,Spain,"Elche, Alicante","A Euro startup developing tech for suborbital & orbital launch services, dedicated to small payloads and nanosatellites"
Sea Launch/S7,6,"6,160",0,0,-,Medium,GTO,Rocket,Russia,-,Integrated launch services for the Zenit Launch Vehicle via a mobile sea platform
Stratolaunch,6,"1,000",0,0,-,Small,LEO,"Plane, Rocket",USA,"Seattle, WA",Using a unique air-launch approach to deliver payloads to multiple orbits and inclinations in a single flight
ABL Space Systems,5,"1,200",12,"10,000",-,Small,LEO,Rocket,USA,"El Segundo, CA",Building rockets to launch small satellites
Astra Space,5,100,0,0,-,Small,LEO,Rocket,USA,"Fremont, CA","Providing routine launch access to earth orbit for the entrepreneurs and enterprises. Currently launching out of Kodiak Island, Alaska"
Generation Orbit,5,0,0,0,-,Small,Suborbital,"Plane, Rocket",USA,"Atlanta, GA","An affordable air-launched, single-stage solution for suborbital and hypersonic research"
Interstellar Technologies,5,100,0.44,"4,400",0.35,Small,Suborbital,Rocket,Japan,Hokkaido,Privately developing rocket engines and suborbital launch vehicles in Japan
Landspace,5,"4,000",0,0,115.3,"Small, Medium",LEO,Rocket,China,Beijing,Commercial launch vehicle manufacturer and space launch provider in China
LinkSpace,5,200,4.5,"22,500",-,Small,LEO,Rocket,China,Beijing,Developing reusable launch vehicle technology for orbital payloads in China
Maritime Launch Services,5,"5,000",45,"9,000",-,Medium,LEO,Rocket,Canada,"Halifax, Nova Scotia","Building up Canada's NewSpace industry as the first private launch provider in Canso, Nova Scotia."
OHB/COSMOS International,5,500,0,0,Joint Venture,Small,LEO,Rocket,Germany,Bremen,Developing a small launcher for low cost delivery to LEO
Orbex,5,220,0,0,39.53,Small,LEO,Rocket,United Kingdom,"London, England","Launch services for small, micro and nano satellites"
PD Aerospace,5,"6,000",0,0,6.75,Medium,Suborbital,Spaceplane,Japan,"Nagoya, Aichi",Developing a fully-reusable suborbital spacecraft
Reaction Engines,5,"17,000",0,860,95.37,Medium,LEO,Spaceplane,United Kingdom,"Abingdon, England",Developing the re-usable Skylon spaceplane powered by SABRE propulsion
Starchaser,5,186,0,0,-,Small,Suborbital,Rocket,United Kingdom,"Hyde, England",Building a reusable three-person rocket ship for space tourism
